full_name;gender
Pernille Schnoor;1
Pernille Skipper;1
Pernille Vermund;1
Pernille Vigsø Bagge;1
Peter Christensen;0
Peter Hummelgaard;0
Peter Hummelgaard Thomsen;0
Peter Juel Jensen;0
Peter Juel-Jensen;0
Peter Kofod;0
Peter Kofod Poulsen;0
Peter Laigaard;0
Peter Madsen;0
Peter Seier Christensen;0
Peter Skaarup;0
Peter Westermann;0
Pia Adelsteen;1
Pia Christmas-Møller;1
Pia Kjærsgaard;1
Pia Olsen Dyhr;1
Poul Andersen;0
Preben Bang Henriksen;0
Preben Rudiengaard;0
Rasmus Helveg Petersen;0
Rasmus Horn Langhoff;0
Rasmus Jarlov;0
Rasmus Lynghøj;0
Rasmus Nordqvist;0
Rasmus Prehn;0
Rasmus Stoklund;0
Rasmus Vestergaard Madsen;0
René Christensen;0
René Gade;0
René Skau Björnsson;0
Rigmor Dam;1
Roger Courage Matthisen;0
Roger Matthisen;0
Rosa Lund;1
Ruben Kidde;0
Rune Lund;0
Samira Nawa;1
Sanne Bjørn;1
Sanne Rubinke;1
Sara Olsvig;1
Sarah Glerup;1
Sarah Nørris;1
Serdal Benli;0
Signe Munk;1
Sikandar Siddique;0
Simon Emil Ammitzbøll;0
Simon Emil Ammitzbøll-Bille;0
Simon Kollerup;0
Sisse Marie Welling;1
Sjúrður Skaale;0
Sofia Rossen;1
Sofie Carsten Nielsen;1
Sophie Hæstorp Andersen;1
Sophie Løhde;1
Steen Gade;0
Steen Holm Iversen;0
Steen Konradsen;0
Stén Knuth;0
Stine Brix;1
Stinus Lindgreen;0
Susanne Eilersen;1
Susanne Zimmer;1
Søren Egge Rasmussen;0
Søren Espersen;0
Søren Gade;0
Søren Krarup;0
Søren Pape Poulsen;0
Søren Pind;0
Søren Søndergaard;0
Tage Leegaard;0
Tanja Larsson;1
Theresa Berg Andersen;1
Thomas Danielsen;0
Thomas Jensen;0
Thor Möger Pedersen;0
Thor Pedersen;0
Thyra Frank;1
Tilde Bork;1
Tina Boel;1
Tina Nedergaard;1
Tina Petersen;1
Tom Behnke;0
Tommy Ahlers;0
Torben Hansen;0
Tórbjørn Jacobsen;0
Torsten Gejl;0
Torsten Schack Pedersen;0
Trine Bramsen;1
Trine Mach;1
Trine Torp;1
Troels Christensen;0
Troels Lund Poulsen;0
Troels Ravn;0
Uffe Elbæk;0
Ulla Sandbæk;1
Ulla Tørnæs;1
Vibeke Grave;1
Victoria Velasquez;1
Villum Christensen;0
Villy Søvndal;0
Vivi Kier;1
Yildiz Akdogan;1
Zenia Stampe;1
Øjvind Vilsholm;0
Özlem Sara Cekic;1
Aaja Chemnitz Larsen;1
